Concept	Preferred Term	Id
Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks (disorder)	Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks	34116005
Phencyclidine-induced psychotic disorder with hallucinations (disorder)	Phencyclidine-induced psychotic disorder with hallucinations	33871004
Severe major depression with psychotic features, mood-congruent (disorder)	Severe major depression with psychotic features, mood-congruent	33736005
Personality disorder (disorder)	Personality disorder	33449004
Severe manic bipolar I disorder with psychotic features, mood-incongruent (disorder)	Severe manic bipolar I disorder with psychotic features, mood-incongruent	33380008
Somatic delusion disorder (disorder)	Somatic delusion disorder	33323008
Recurrent major depression in partial remission (disorder)	Recurrent major depression in partial remission	33135002
Severe recurrent major depression with psychotic features, mood-congruent (disorder)	Severe recurrent major depression with psychotic features, mood-congruent	33078009
Adjustment disorder with work inhibition (disorder)	Adjustment disorder with work inhibition	32880007
Inhalant-induced persisting dementia (disorder)	Inhalant-induced persisting dementia	32875003
Bulimia nervosa, purging type (disorder)	Bulimia nervosa, purging type	32721004
Organic delusional disorder caused by psychoactive substance (disorder)	Organic delusional disorder caused by psychoactive substance	32552001
Pederasty (disorder)	Pederasty	32410009
Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND moderate panic attacks (disorder)	Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND moderate panic attacks	32388005
Amphetamine delusional disorder (disorder)	Amphetamine delusional disorder	32358001
Voice disorder due to psychosexual conflict (disorder)	Voice disorder due to psychosexual conflict	32174002
Hallucinogen hallucinosis (disorder)	Hallucinogen hallucinosis	32009006
Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND mild panic attacks (disorder)	Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND mild panic attacks	31781004
Phencyclidine intoxication delirium (disorder)	PCP (phencyclidine) intoxication delirium	31715000
Chronic paranoid schizophrenia (disorder)	Chronic paranoid schizophrenia	31658008
Unaggressive type unsocialized behavior disorder (disorder)	Unaggressive type unsocialized behavior disorder	31648009
Multiple personality disorder (disorder)	Multiple personality disorder	31611000
Bipolar I disorder, most recent episode hypomanic (disorder)	Bipolar I disorder, most recent episode hypomanic	31446002
Disorganized schizophrenia in remission (disorder)	Disorganised schizophrenia in remission	31373002
Coprophilia (disorder)	Coprophilia	31358003
Somatoform disorder (disorder)	Somatoform disorder	31297008
Attention deficit hyperactivity disorder, combined type (disorder)	Attention deficit hyperactivity disorder, combined type	31177006
Schizotypal personality disorder (disorder)	Schizotypal personality disorder	31027006
Manic bipolar I disorder in full remission (disorder)	Manic bipolar I disorder in full remission	30935000
Flashbacks (disorder)	Flashbacks	30871003
Bipolar II disorder, most recent episode major depressive with postpartum onset (disorder)	Bipolar II disorder, most recent episode major depressive with postpartum onset	30687003
Major depression in partial remission (disorder)	Major depression in partial remission	30605009
Severe bipolar II disorder, most recent episode major depressive with psychotic features (disorder)	Severe bipolar II disorder, most recent episode major depressive with psychotic features	30520009
Gender identity disorder of adolescence, previously homosexual (disorder)	Gender identity disorder of adolescence, previously homosexual	30509009
Cocaine delusional disorder (disorder)	Cocaine delusional disorder	30491001
Chronic residual schizophrenia with acute exacerbations (disorder)	Chronic residual schizophrenia with acute exacerbations	30336007
Nicotine-induced organic mental disorder (disorder)	Nicotine-induced organic mental disorder	30310000
Somatoform pain disorder (disorder)	Somatoform pain disorder	30077003
Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks (disorder)	Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks	30059008
Bipolar I disorder, most recent episode depressed with atypical features (disorder)	Bipolar I disorder, most recent episode depressed with atypical features	29929003
Mood disorder caused by opioid (disorder)	Opioid-induced mood disorder	29733004
Deferred diagnosis on Axis IV (disorder)	Deferred diagnosis on Axis IV	29657007
Chronic undifferentiated schizophrenia (disorder)	Chronic undifferentiated schizophrenia	29599000
Moderate bipolar I disorder, single manic episode (disorder)	Moderate bipolar I disorder, single manic episode	28884001
Sedative, hypnotic AND/OR anxiolytic-induced mood disorder (disorder)	Sedative, hypnotic AND/OR anxiolytic-induced mood disorder	28864000
Mood disorder with manic features due to general medical condition (disorder)	Mood disorder with manic features due to general medical condition	28676002
Severe manic bipolar I disorder with psychotic features (disorder)	Severe manic bipolar I disorder with psychotic features	28663008
Severe recurrent major depression with psychotic features (disorder)	Severe recurrent major depression with psychotic features	28475009
Organic hallucinosis caused by psychoactive substance (disorder)	Psychoactive substance-induced organic hallucinosis	28368009
Transitory postpartum mood disturbance (disorder)	Transitory postpartum mood disturbance	28357009
Qi-gong psychotic reaction (disorder)	Qi-gong psychotic reaction	27803006
Developmental coordination disorder (disorder)	Developmental coordination disorder	27544004
Subchronic disorganized schizophrenia (disorder)	Subchronic disorganised schizophrenia	27387000
Alzheimer's disease (disorder)	Alzheimer's disease	26929004
Primary degenerative dementia of the Alzheimer type, senile onset, with depression (disorder)	Primary degenerative dementia of the Alzheimer type, senile onset, with depression	26852004
Cannabis-induced psychotic disorder with hallucinations (disorder)	Cannabis-induced psychotic disorder with hallucinations	26714005
Antisocial personality disorder (disorder)	Antisocial personality disorder	26665006
Severe bipolar disorder with psychotic features, mood-incongruent (disorder)	Severe bipolar disorder with psychotic features, mood-incongruent	26530004
Severe mood disorder with psychotic features (disorder)	Severe mood disorder with psychotic features	26516009
Paraphrenia (disorder)	Paraphrenia	26472000
Mental disorder in adolescence (disorder)	Mental disorder in adolescence	26453000
Severe depressed bipolar I disorder with psychotic features, mood-incongruent (disorder)	Severe depressed bipolar I disorder with psychotic features, mood-incongruent	26203008
Residual schizophrenia (disorder)	Residual schizophrenia	26025008
Pedophilia, exclusive type (disorder)	Paedophilia, exclusive type	25971005
Major depressive disorder, single episode with postpartum onset (disorder)	Major depressive disorder, single episode with postpartum onset	25922000
Multi-infarct dementia with delusions (disorder)	Multi-infarct dementia with delusions	25772007
Social phobia (disorder)	Social phobia	25501002
Psychogenic adductor spastic dysphonia (disorder)	Psychogenic adductor spastic dysphonia	25297005
Deferred diagnosis on Axis III (disorder)	Deferred diagnosis on Axis III	25029006
Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in full remission (disorder)	Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in full remission	24781009
Factitious disorder with combined physical AND psychological symptoms (disorder)	Factitious disorder with combined physical AND psychological symptoms	24315006
Mental disorder in infancy (disorder)	Mental disorder in infancy	24125008
Insomnia disorder related to another mental disorder (disorder)	Insomnia disorder related to another mental disorder	24121004
Dysphonia of Gilles de la Tourette's syndrome (disorder)	Dysphonia of Gilles de la Tourette's syndrome	23772009
Organic mood disorder (disorder)	Organic mood disorder	23645006
Asperger's disorder (disorder)	Asperger's disorder	23560001
Undifferentiated attention deficit disorder (disorder)	Undifferentiated attention deficit disorder	23148009
Mood disorder with mixed features due to general medical condition (disorder)	Mood disorder with mixed features due to general medical condition	22419002
Bipolar II disorder, most recent episode major depressive with catatonic features (disorder)	Bipolar II disorder, most recent episode major depressive with catatonic features	22407005
Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in full remission (disorder)	Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in full remission	22230001
Depressed bipolar I disorder in full remission (disorder)	Depressed bipolar I disorder in full remission	22121000
Bipolar I disorder, most recent episode depressed with catatonic features (disorder)	Bipolar I disorder, most recent episode depressed with catatonic features	21900002
Generalized anxiety disorder (disorder)	Generalised anxiety disorder	21897009
Munchausen's syndrome (disorder)	Munchausen's syndrome	21586000
Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-incongruent (disorder)	Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-incongruent	20960007
Inhalant-induced anxiety disorder (disorder)	Inhalant-induced anxiety disorder	20876004
Psychotic disorder with delusions caused by opioid (disorder)	Opioid-induced psychotic disorder with delusions	20385005
Severe major depression, single episode, with psychotic features, mood-incongruent (disorder)	Severe major depression, single episode, with psychotic features, mood-incongruent	20250007
Borderline personality disorder (disorder)	Borderline personality disorder	20010003
Postencephalitic parkinsonism (disorder)	Postencephalitic parkinsonism	19972008
Compulsive sexual sadism (disorder)	Compulsive sexual sadism	19922006
Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks (disorder)	Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks	19766004
Late onset dysthymia (disorder)	Late onset dysthymia	19694002
Single episode of major depression in full remission (disorder)	Single episode of major depression in full remission	19527009
Axis V diagnosis (disorder)	Axis V diagnosis	19480005
Opioid-induced psychotic disorder with hallucinations (disorder)	Opioid-induced psychotic disorder with hallucinations	19445006
Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-congruent (disorder)	Severe bipolar II disorder, most recent episode major depressive with psychotic features, mood-congruent	19300006
Oppositional defiant disorder (disorder)	Oppositional defiant disorder	18941000
Moderate recurrent major depression (disorder)	Moderate recurrent major depression	18818009
Inhalant intoxication delirium (disorder)	Inhalant intoxication delirium	18689007
Alcohol intoxication delirium (disorder)	Alcohol intoxication delirium	18653004
Sunstroke (disorder)	Sunstroke	18615009
Obsessional erotomania (disorder)	Obsessional erotomania	18573003
Adjustment disorder with physical complaints (disorder)	Adjustment disorder with physical complaints	18478005
Undifferentiated somatoform disorder (disorder)	Undifferentiated somatoform disorder	18393005
Postpartum psychosis (disorder)	Postpartum psychosis	18260003
Hypochondriasis (disorder)	Hypochondriasis	18193002
True compulsive fetishism (disorder)	True compulsive fetishism	18186001
Compulsive gambling (disorder)	Compulsive gambling	18085000
Gender identity disorder of adulthood (disorder)	Gender identity disorder of adulthood	18003009
Conduct disorder, childhood-onset type (disorder)	Conduct disorder, childhood-onset type	17961008
Bipolar I disorder, most recent episode manic with catatonic features (disorder)	Bipolar I disorder, most recent episode manic with catatonic features	17782008
Organic anxiety disorder (disorder)	Organic anxiety disorder	17496003
Non-alcoholic Korsakoff's psychosis (disorder)	Non-alcoholic Korsakoff's psychosis	17262008
Adjustment disorder (disorder)	Adjustment disorder	17226007
Trichotillomania (disorder)	Trichotillomania	17155009
Subchronic schizophrenia (disorder)	Subchronic schizophrenia	16990005
Factitious hypoglycemia (disorder)	Factitious hypoglycaemia	16966009
Cluster A personality disorder (disorder)	Cluster A personality disorder	16805009
Mixed bipolar I disorder (disorder)	Mixed bipolar I disorder	16506000
Bipolar II disorder, most recent episode major depressive (disorder)	Bipolar II disorder, most recent episode major depressive	16295005
Adjustment disorder with academic inhibition (disorder)	Adjustment disorder with academic inhibition	15977008
Psychogenic polydipsia (disorder)	Psychogenic polydipsia	15945005
Symptomatic fetishism (disorder)	Symptomatic fetishism	15840001
Senile dementia (disorder)	Senile dementia	15662003
Moderate major depression, single episode (disorder)	Moderate major depression, single episode	15639000
Hallucinogen-induced anxiety disorder (disorder)	Hallucinogen-induced anxiety disorder	15277004
Severe recurrent major depression with psychotic features, mood-incongruent (disorder)	Severe recurrent major depression with psychotic features, mood-incongruent	15193003
Organic mental disorder caused by opioid (disorder)	Opioid-induced organic mental disorder	14784000
Severe bipolar I disorder, single manic episode without psychotic features (disorder)	Severe bipolar I disorder, single manic episode without psychotic features	14495005
Subchronic disorganized schizophrenia with acute exacerbations (disorder)	Subchronic disorganised schizophrenia with acute exacerbations	14291003
Chronic major depressive disorder, single episode (disorder)	Chronic major depressive disorder, single episode	14183003
Erotomanic delusion disorder (disorder)	Erotomanic delusion disorder	14144000
Pica (disorder)	Pica	14077003
Multi-infarct dementia with depression (disorder)	Multi-infarct dementia with depression	14070001
Bipolar disorder (disorder)	Bipolar disorder	13746004
Gender identity disorder of adulthood, previously heterosexual (disorder)	Gender identity disorder of adulthood, previously heterosexual	13670005
Paranoid personality disorder (disorder)	Paranoid personality disorder	13601005
Severe bipolar I disorder, single manic episode with psychotic features, mood-congruent (disorder)	Severe bipolar I disorder, single manic episode with psychotic features, mood-congruent	13581000
Overanxious disorder of childhood (disorder)	Overanxious disorder of childhood	13438001
Mild bipolar disorder (disorder)	Mild bipolar disorder	13313007
Factitious psychosis (disorder)	Factitious psychosis	13127006
Severe bipolar II disorder, most recent episode major depressive, in full remission (disorder)	Severe bipolar II disorder, most recent episode major depressive, in full remission	12969000
Chronic disorganized schizophrenia (disorder)	Chronic disorganized schizophrenia	12939007
Presenile dementia (disorder)	Presenile dementia	12348006
Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in full remission (disorder)	Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in full remission	11941006
Separation anxiety disorder of childhood (disorder)	Separation anxiety disorder of childhood	11806006
Organic mental disorder caused by psychoactive substance (disorder)	Organic mental disorder caused by psychoactive substance	11387009
Severe mixed bipolar I disorder with psychotic features (disorder)	Severe mixed bipolar I disorder with psychotic features	10981006
Severe mixed bipolar I disorder with psychotic features, mood-incongruent (disorder)	Severe mixed bipolar I disorder with psychotic features, mood-incongruent	10875004
Symptomatic pedophilia (disorder)	Symptomatic paedophilia	10783000
Occupation-related stress disorder (disorder)	Occupation-related stress disorder	10586006
Primary degenerative dementia of the Alzheimer type, presenile onset, with depression (disorder)	Primary degenerative dementia of the Alzheimer type, presenile onset, with depression	10532003
Multi-infarct dementia with delirium (disorder)	Multi-infarct dementia with delirium	10349009
Cocaine-induced mood disorder (disorder)	Cocaine-induced mood disorder	10327003
Deferred diagnosis on Axis I (disorder)	Deferred diagnosis on Axis I	9760005
Adjustment disorder with withdrawal (disorder)	Adjustment disorder with withdrawal	9674006
Dialysis dementia (disorder)	Dialysis dementia	9345005
Bipolar I disorder, single manic episode (disorder)	Bipolar I disorder, single manic episode	9340000
Moderate mood disorder (disorder)	Moderate mood disorder	9167000
Shin-byung (disorder)	Shin-byung	9116003
Pedophilia, opposite sex (disorder)	Pedophilia, opposite sex	9083002
Delirium caused by amphetamine (disorder)	Delirium caused by amphetamine	8837000
Alcohol withdrawal delirium (disorder)	Alcohol withdrawal delirium	8635005
Vocal abuse in children (disorder)	Vocal abuse in children	8547008
Klismaphilia (disorder)	Klismaphilia	8522006
Transient tic disorder, single episode (disorder)	Transient tic disorder, single episode	8511007
Panic disorder with agoraphobia AND moderate panic attacks (disorder)	Panic disorder with agoraphobia AND moderate panic attacks	8185002
Psychogenic vertigo (disorder)	Psychogenic vertigo	7956006
Chronic motor tic disorder (disorder)	Chronic motor tic disorder	7794004
Bilis (disorder)	Bilis	7718000
Attention deficit hyperactivity disorder, predominantly hyperactive impulsive type (disorder)	Attention deficit hyperactivity disorder, predominantly hyperactive impulsive type	7461003
Aggressor identification syndrome (disorder)	Aggressor identification syndrome	7397008
Reactive attachment disorder of infancy (disorder)	Reactive attachment disorder of infancy	7291006
Alcohol hallucinosis (disorder)	Alcohol hallucinosis	7052005
Subchronic undifferentiated schizophrenia with acute exacerbations (disorder)	Subchronic undifferentiated schizophrenia with acute exacerbations	7025000
Primary degenerative dementia of the Alzheimer type, presenile onset, uncomplicated (disorder)	Primary degenerative dementia of the Alzheimer type, presenile onset, uncomplicated	6475002
Cocaine-induced psychotic disorder with hallucinations (disorder)	Cocaine-induced psychotic disorder with hallucinations	6348008
Mixed behavior and emotional disorder (disorder)	Mixed behavior and emotional disorder	5793009
Bipolar disorder in partial remission (disorder)	Bipolar disorder in partial remission	5703000
Situational hypoactive sexual desire disorder (disorder)	Situational hypoactive sexual desire disorder	5664002
Organic delusional disorder (disorder)	Organic delusional disorder	5510009
Panic disorder with agoraphobia AND severe panic attacks (disorder)	Panic disorder with agoraphobia AND severe panic attacks	5509004
Stereotypy habit disorder (disorder)	Stereotypy habit disorder	5507002
Brief reactive psychosis (disorder)	Brief reactive psychosis	5464005
Sedative, hypnotic AND/OR anxiolytic intoxication delirium (disorder)	Sedative, hypnotic AND/OR anxiolytic intoxication delirium	5444000
Gilles de la Tourette's syndrome (disorder)	Gilles de la Tourette's syndrome	5158005
Gender identity disorder of childhood (disorder)	Gender identity disorder of childhood	5095008
Thyrotoxicosis factitia (disorder)	Thyrotoxicosis factitia	4997005
Motor skill disorder (disorder)	Motor skill disorder	4949009
Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks (disorder)	Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks	4932002
Schizophrenia in remission (disorder)	Schizophrenia in remission	4926007
Mood disorder caused by phencyclidine (disorder)	PCP (phencyclidine) mood disorder	4863002
Primary degenerative dementia of the Alzheimer type, senile onset, with delirium (disorder)	Primary degenerative dementia of the Alzheimer type, senile onset, with delirium	4817008
Severe bipolar disorder with psychotic features (disorder)	Severe bipolar disorder with psychotic features	4441000
Cluster B personality disorder (disorder)	Cluster B personality disorder	4306003
Mental disorder in childhood (disorder)	Mental disorder in childhood	3914008
Psychogenic fugue (disorder)	Psychogenic fugue	3586005
Bipolar I disorder, single manic episode, in full remission (disorder)	Bipolar I disorder, single manic episode, in full remission	3530005
Amnestic disorder (disorder)	Amnestic disorder	3298001
Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission (disorder)	Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission	3158007
Secondary dysthymia early onset (disorder)	Secondary dysthymia early onset	3109008
Brain fag (disorder)	Brain fag	2994004
Piblokto (disorder)	Piblokto	2838003
Sexual pyromania (disorder)	Sexual pyromania	2815001
Delirium (disorder)	Delirium	2776000
Chronic recurrent major depressive disorder (disorder)	Chronic recurrent major depressive disorder	2618002
Early onset dysthymia (disorder)	Early onset dysthymia	2506003
Reactive attachment disorder of infancy OR early childhood, inhibited type (disorder)	Reactive attachment disorder of infancy OR early childhood, inhibited type	2312009
Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions (disorder)	Sedative, hypnotic AND/OR anxiolytic-induced psychotic disorder with delusions	1973000
Developmental academic disorder (disorder)	Developmental academic disorder	1855002
Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks (disorder)	Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks	1816003
Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder (disorder)	Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder	1686006
Bipolar I disorder, single manic episode with postpartum onset (disorder)	Bipolar I disorder, single manic episode with postpartum onset	1499003
Hallucinogen mood disorder (disorder)	Hallucinogen mood disorder	1383008
Agoraphobia without history of panic disorder with limited symptom attacks (disorder)	Agoraphobia without history of panic disorder with limited symptom attacks	1380006
Obsessive compulsive personality disorder (disorder)	Obsessive compulsive personality disorder	1376001
Chronic bipolar II disorder, most recent episode major depressive (disorder)	Chronic bipolar II disorder, most recent episode major depressive	1196001
Axis I diagnosis (disorder)	Axis I diagnosis	899001
Moderate major depression (disorder)	Moderate major depression	832007
Root work (disorder)	Root work	651003
Pyromania (disorder)	Pyromania	600009
Premenstrual dysphoric disorder (disorder)	Premenstrual dysphoric disorder	596004
Tic disorder (disorder)	Tic disorder	568005
Dementia associated with alcoholism (disorder)	Dementia associated with alcoholism	281004
Severe manic bipolar I disorder without psychotic features (disorder)	Severe manic bipolar I disorder without psychotic features	162004
Anxiety disorder of childhood OR adolescence (disorder)	Anxiety disorder of childhood OR adolescence	109006
